current_price,predicted_price_7d,price_volatility_30d,storage_capacity_kg,quantity_kg,days_since_harvest,distance_to_nearest_buyer_km,rain_probability_pct,demand_score,label
13.17,14.82,0.2236,0.0,1026.8,1,11.9,69.7,0.173,SELL_NOW
32.77,35.16,0.2481,0.0,1816.2,10,75.2,53.9,0.72,WAIT
37.21,30.92,0.0806,5000.0,309.5,12,19.4,51.1,0.304,SELL_NOW
28.99,30.63,0.0605,0.0,527.6,9,20.9,15.9,0.132,WAIT
68.01,81.83,0.1937,0.0,312.4,2,3.7,37.2,0.154,AGGREGATE
34.97,36.01,0.0707,500.0,2455.7,4,94.3,67.3,0.436,SELL_NOW
29.67,24.5,0.2177,0.0,2282.0,2,97.9,92.5,0.17,SELL_NOW
47.99,57.26,0.0347,200.0,2284.6,5,21.1,81.6,0.637,SELL_NOW
19.86,17.89,0.0402,5000.0,2177.3,12,89.3,30.0,0.683,SELL_NOW
66.15,61.48,0.245,1000.0,2041.2,9,53.2,43.4,0.436,SELL_NOW
15.22,13.43,0.1717,500.0,1483.3,18,30.3,8.3,0.769,SELL_NOW
79.08,76.32,0.2133,5000.0,1962.6,7,75.3,10.2,0.541,WAIT
64.06,75.48,0.0878,5000.0,211.2,17,23.1,47.0,0.487,STORE
23.91,25.34,0.1724,200.0,1902.2,2,91.3,53.0,0.466,WAIT
10.39,9.37,0.1526,0.0,2355.8,16,7.6,26.4,0.488,SELL_NOW
67.08,83.11,0.1548,200.0,1551.0,7,115.2,64.3,0.971,SELL_NOW
59.48,73.74,0.1738,0.0,1136.8,9,10.5,70.3,0.713,SELL_NOW
61.03,75.39,0.1481,0.0,904.5,1,70.4,29.9,0.384,AGGREGATE
63.99,58.83,0.113,5000.0,1964.1,11,108.5,75.8,0.76,SELL_NOW
15.18,15.57,0.0762,0.0,2109.1,5,3.4,20.6,0.397,WAIT
35.09,45.36,0.1945,500.0,2625.8,1,60.8,54.4,0.213,AGGREGATE
18.11,21.48,0.0643,500.0,1092.8,20,43.3,80.4,0.528,SELL_NOW
70.42,57.29,0.1762,500.0,2332.3,2,70.5,53.7,0.776,SELL_NOW
53.63,44.65,0.066,5000.0,1727.9,16,28.6,90.8,0.44,SELL_NOW
33.16,34.22,0.1601,200.0,2660.2,6,9.7,5.9,0.882,SELL_NOW
14.45,18.13,0.1893,1000.0,1630.7,20,75.9,58.8,0.448,AGGREGATE
31.77,33.97,0.0625,0.0,1601.1,4,51.2,56.2,0.415,WAIT
32.76,34.37,0.0244,1000.0,1775.8,0,75.5,66.0,0.998,SELL_NOW
61.07,52.08,0.0414,200.0,2273.0,7,26.8,83.3,0.534,SELL_NOW
54.63,61.64,0.1554,200.0,2897.6,11,42.0,72.6,0.825,SELL_NOW
72.1,87.32,0.2139,5000.0,313.3,13,68.3,79.0,0.824,SELL_NOW
43.06,42.63,0.0208,500.0,255.0,15,72.0,28.9,0.934,WAIT
18.37,21.82,0.1862,500.0,2818.9,9,45.9,38.7,0.176,AGGREGATE
59.93,76.84,0.0919,200.0,1636.6,14,35.0,62.7,0.344,SELL_NOW
63.25,57.05,0.1248,5000.0,1883.2,20,34.3,55.3,0.791,SELL_NOW
49.29,52.33,0.2329,5000.0,1499.0,14,22.6,96.1,0.606,WAIT
63.97,60.36,0.0897,0.0,371.6,9,40.4,18.7,0.604,SELL_NOW
44.57,53.32,0.1217,500.0,2327.5,20,25.5,35.1,0.25,AGGREGATE
46.59,50.73,0.0133,200.0,2267.0,6,76.8,57.3,0.353,AGGREGATE
39.93,44.61,0.0296,1000.0,1003.9,2,69.1,86.8,0.569,SELL_NOW
11.78,14.12,0.0721,500.0,988.1,1,47.1,92.9,0.349,SELL_NOW
17.55,17.52,0.0167,0.0,2529.7,5,40.4,33.6,0.289,WAIT
12.2,15.34,0.1615,5000.0,309.8,20,30.0,6.7,0.179,STORE
54.55,58.18,0.1123,200.0,2655.2,8,65.2,42.2,0.24,WAIT
32.0,28.13,0.1416,500.0,844.3,9,110.4,39.4,0.792,SELL_NOW
45.6,52.35,0.0519,1000.0,1819.7,3,82.9,98.6,0.747,SELL_NOW
73.53,87.99,0.081,0.0,2814.4,2,89.8,43.1,0.141,AGGREGATE
27.45,26.31,0.1693,0.0,2066.6,8,100.5,30.6,0.283,WAIT
38.73,47.58,0.2417,500.0,1301.8,16,43.5,36.5,0.604,AGGREGATE
62.89,78.8,0.0221,1000.0,2099.6,13,9.4,39.7,0.39,AGGREGATE
26.02,24.41,0.2237,0.0,1097.5,9,75.5,82.2,0.841,SELL_NOW
15.39,19.88,0.1485,200.0,904.0,12,24.3,8.1,0.806,AGGREGATE
30.28,26.36,0.1453,0.0,2990.4,11,69.1,31.7,0.902,SELL_NOW
21.29,19.18,0.1301,1000.0,2277.3,0,89.3,96.6,0.607,SELL_NOW
75.08,66.98,0.0267,5000.0,1969.7,18,94.5,15.3,0.417,SELL_NOW
66.57,83.01,0.0316,5000.0,1130.3,18,37.6,74.3,0.645,WAIT
54.34,61.25,0.1542,500.0,242.6,5,62.5,35.6,0.18,STORE
71.0,62.2,0.0918,1000.0,190.1,12,75.3,58.2,0.109,SELL_NOW
66.26,67.59,0.2301,0.0,1707.1,18,98.7,10.0,0.115,SELL_NOW
23.06,25.54,0.1076,0.0,2309.9,12,91.8,30.6,0.467,AGGREGATE
72.48,61.01,0.0444,5000.0,1658.4,20,118.6,50.1,0.305,SELL_NOW
47.75,59.27,0.1815,5000.0,2538.3,3,3.0,23.2,0.242,STORE
66.52,79.94,0.0804,200.0,196.9,1,53.6,54.2,0.654,WAIT
72.73,76.55,0.1361,5000.0,1163.6,14,32.2,22.0,0.996,SELL_NOW
32.26,41.41,0.1775,200.0,787.5,11,16.1,65.0,0.26,SELL_NOW
17.7,17.86,0.2261,0.0,1397.1,6,109.6,90.4,0.592,SELL_NOW
25.96,33.54,0.2001,200.0,309.9,19,119.8,8.5,0.208,AGGREGATE
39.9,45.24,0.1723,200.0,2867.0,17,23.3,21.7,0.941,AGGREGATE
67.26,75.15,0.1731,500.0,747.4,12,6.5,84.4,0.363,SELL_NOW
70.25,62.03,0.237,5000.0,2774.7,16,34.5,63.2,0.891,SELL_NOW
10.49,13.01,0.081,200.0,1335.1,3,100.5,7.9,0.355,AGGREGATE
45.75,46.38,0.0103,0.0,2958.0,13,36.7,48.6,0.825,SELL_NOW
39.22,34.56,0.0753,1000.0,1706.8,19,8.7,21.0,0.288,SELL_NOW
25.55,20.6,0.0623,200.0,2799.4,12,8.2,19.9,0.364,SELL_NOW
18.39,19.86,0.1688,5000.0,115.5,2,52.4,94.1,0.273,WAIT
33.63,35.78,0.1621,500.0,2269.9,17,112.0,76.2,0.338,SELL_NOW
76.0,88.14,0.1524,0.0,2718.8,13,35.7,69.6,0.851,SELL_NOW
32.62,40.62,0.0139,500.0,505.2,14,52.4,23.9,0.675,AGGREGATE
46.32,38.89,0.1849,1000.0,378.8,2,14.0,11.9,0.465,SELL_NOW
59.21,69.03,0.0876,200.0,1331.3,0,60.2,87.1,0.974,SELL_NOW
35.45,31.69,0.1696,200.0,2807.7,16,84.2,0.6,0.518,SELL_NOW
78.02,95.9,0.1436,5000.0,1672.9,2,34.0,38.8,0.973,SELL_NOW
77.37,93.58,0.0923,200.0,1629.6,13,37.0,27.8,0.277,AGGREGATE
27.62,29.57,0.0423,0.0,509.3,2,101.4,57.0,0.914,SELL_NOW
44.81,51.76,0.0327,1000.0,102.3,12,3.2,25.1,0.112,STORE
31.06,29.73,0.2096,500.0,2449.4,14,77.1,31.1,0.591,WAIT
29.94,31.0,0.2304,1000.0,354.0,17,48.5,85.0,0.481,WAIT
12.58,15.23,0.1659,200.0,1938.2,13,37.2,60.3,0.573,SELL_NOW
52.67,54.23,0.0348,500.0,2752.4,20,79.6,14.6,0.598,SELL_NOW
45.19,44.23,0.1065,5000.0,705.1,2,100.5,72.6,0.45,WAIT
13.6,14.24,0.1849,1000.0,2029.3,18,67.9,20.7,0.998,SELL_NOW
29.51,35.82,0.1972,500.0,328.2,7,5.7,43.3,0.979,SELL_NOW
73.58,71.19,0.0384,500.0,1850.9,3,56.4,64.7,0.966,SELL_NOW
26.77,23.74,0.01,500.0,575.4,3,56.6,27.2,0.981,SELL_NOW
20.14,23.29,0.1809,0.0,2234.3,18,66.2,38.4,0.814,AGGREGATE
44.26,53.69,0.0956,1000.0,973.6,10,81.2,73.4,0.99,SELL_NOW
79.0,67.17,0.0711,500.0,1443.8,0,4.3,93.8,0.903,SELL_NOW
26.94,24.79,0.0131,1000.0,1838.3,7,61.2,52.9,0.474,SELL_NOW
57.05,49.69,0.1397,500.0,596.7,14,71.4,1.0,0.806,SELL_NOW
63.31,61.67,0.2143,5000.0,2250.7,0,42.5,33.8,0.921,WAIT
26.63,27.31,0.2398,5000.0,977.7,6,80.9,39.9,0.741,WAIT
60.98,71.61,0.1458,5000.0,2020.9,20,28.9,33.9,0.481,STORE
35.74,40.23,0.1335,200.0,559.0,19,39.4,43.6,0.159,AGGREGATE
54.26,60.26,0.0304,500.0,2095.5,19,115.6,63.3,0.829,SELL_NOW
54.35,53.05,0.1417,200.0,471.7,10,43.1,12.1,0.957,WAIT
47.5,57.99,0.1012,1000.0,1333.5,13,42.9,27.3,0.426,AGGREGATE
16.32,16.9,0.1557,200.0,816.9,15,72.3,50.8,0.237,SELL_NOW
68.47,88.3,0.1033,1000.0,2270.3,13,116.6,31.6,0.394,AGGREGATE
32.45,36.25,0.0677,1000.0,859.9,11,118.0,99.1,0.624,WAIT
23.06,19.9,0.0328,1000.0,2657.0,16,70.4,43.1,0.385,SELL_NOW
12.85,14.63,0.0856,200.0,2686.3,13,2.1,87.0,0.65,SELL_NOW
51.36,49.44,0.0332,500.0,669.7,9,108.3,89.7,0.97,SELL_NOW
57.43,65.65,0.0525,200.0,1880.2,13,69.3,83.6,0.704,SELL_NOW
11.16,9.32,0.247,500.0,354.4,17,45.2,4.7,0.426,SELL_NOW
45.85,40.69,0.1166,500.0,1235.5,8,99.8,94.8,0.942,SELL_NOW
25.85,31.75,0.1376,1000.0,2168.6,16,49.2,12.9,0.609,AGGREGATE
55.16,50.4,0.2197,200.0,2012.3,5,6.0,3.4,0.216,SELL_NOW
22.21,27.06,0.2489,500.0,1911.6,7,98.9,41.4,0.549,AGGREGATE
58.37,54.84,0.1499,5000.0,919.4,12,66.4,19.5,0.688,SELL_NOW
37.07,41.57,0.205,500.0,1196.3,17,41.9,18.4,0.854,AGGREGATE
75.57,86.69,0.0885,5000.0,398.5,4,31.6,28.8,0.943,SELL_NOW
19.63,20.73,0.0834,200.0,2185.2,5,72.1,24.8,0.386,WAIT
33.87,32.27,0.1066,200.0,1561.3,20,26.5,68.5,0.24,SELL_NOW
17.94,16.26,0.1714,200.0,2155.4,18,40.2,18.7,0.166,SELL_NOW
74.73,61.02,0.1737,500.0,821.9,3,77.1,54.3,0.765,SELL_NOW
71.41,67.98,0.0857,0.0,1040.9,6,106.0,98.6,0.816,SELL_NOW
28.06,31.61,0.042,500.0,1069.2,3,64.9,43.2,0.468,AGGREGATE
56.2,71.32,0.1618,500.0,174.7,10,91.6,64.2,0.456,STORE
67.21,83.04,0.0408,1000.0,1089.0,11,92.0,96.9,0.959,SELL_NOW
48.86,57.81,0.1488,1000.0,2429.6,13,80.4,13.8,0.925,AGGREGATE
47.08,56.22,0.1764,500.0,2702.2,12,31.0,41.9,0.31,AGGREGATE
26.93,30.5,0.1781,5000.0,1602.8,9,104.3,85.0,0.803,SELL_NOW
16.52,15.36,0.1908,1000.0,1421.0,17,53.5,93.2,0.66,SELL_NOW
72.81,91.27,0.2195,500.0,189.4,15,7.2,60.1,0.239,STORE
73.03,82.91,0.13,0.0,2649.7,4,30.9,14.3,0.421,AGGREGATE
54.32,58.67,0.1853,5000.0,137.7,7,92.3,90.1,0.26,WAIT
33.73,28.86,0.1586,200.0,2839.8,13,10.2,17.4,0.366,SELL_NOW
34.44,35.26,0.0548,500.0,1518.7,4,19.4,35.3,0.654,WAIT
60.82,62.65,0.0162,500.0,1091.6,7,83.9,37.6,0.438,WAIT
72.8,89.71,0.0783,5000.0,2780.2,5,107.3,44.7,0.455,STORE
72.1,77.38,0.1163,1000.0,170.7,15,76.8,79.0,0.586,WAIT
64.59,63.96,0.1581,1000.0,1786.1,3,28.2,80.2,0.179,SELL_NOW
54.94,70.79,0.214,1000.0,1691.9,11,8.3,72.0,0.765,SELL_NOW
15.89,13.59,0.0571,200.0,736.0,10,74.6,2.2,0.462,SELL_NOW
21.31,21.55,0.0401,5000.0,1343.8,2,7.6,56.5,0.532,WAIT
72.9,59.85,0.2412,5000.0,1991.6,11,74.3,74.7,0.977,SELL_NOW
52.45,61.36,0.0359,1000.0,2208.7,4,28.6,44.5,0.41,AGGREGATE
10.64,13.4,0.1248,1000.0,102.1,5,108.7,94.5,0.683,WAIT
17.1,16.08,0.1505,0.0,2816.9,18,58.1,82.4,0.453,SELL_NOW
56.45,69.38,0.1399,0.0,577.1,17,28.4,63.8,0.905,SELL_NOW
10.35,9.8,0.0306,500.0,777.4,15,102.7,6.2,0.862,SELL_NOW
21.26,26.69,0.0237,500.0,864.1,10,32.0,65.2,0.317,SELL_NOW
48.41,56.98,0.0353,5000.0,209.7,4,38.2,91.2,0.723,WAIT
58.43,70.26,0.1505,5000.0,456.9,8,100.4,37.9,0.159,STORE
55.64,45.01,0.1406,200.0,2960.4,2,38.4,83.8,0.967,SELL_NOW
25.7,32.93,0.0661,200.0,1014.1,7,50.4,31.3,0.414,AGGREGATE
59.85,69.63,0.1631,0.0,434.4,5,43.0,57.0,0.849,AGGREGATE
26.61,25.34,0.2068,500.0,410.3,3,15.7,64.8,0.387,WAIT
32.78,39.82,0.02,0.0,2186.4,11,6.6,67.8,0.669,SELL_NOW
62.25,58.57,0.1296,0.0,2578.2,11,87.5,88.3,0.985,SELL_NOW
55.47,68.59,0.1754,500.0,845.2,20,78.1,23.5,0.889,AGGREGATE
69.45,59.47,0.0706,200.0,160.6,15,35.3,26.2,0.244,SELL_NOW
56.03,64.54,0.0839,500.0,747.0,9,36.9,70.4,0.593,SELL_NOW
49.78,53.28,0.1573,1000.0,263.9,13,113.5,17.7,0.414,WAIT
16.56,14.04,0.2255,1000.0,399.8,12,118.5,46.4,0.491,SELL_NOW
35.74,32.91,0.2044,1000.0,1351.4,8,57.9,2.0,0.402,SELL_NOW
28.56,23.03,0.15,5000.0,766.8,6,96.7,14.1,0.402,SELL_NOW
27.08,28.01,0.1853,200.0,1596.2,11,88.9,67.9,0.588,SELL_NOW
78.11,74.25,0.0976,200.0,835.1,4,37.1,74.7,0.273,SELL_NOW
37.52,41.24,0.1638,5000.0,2827.6,17,8.9,11.5,0.584,WAIT
72.44,68.72,0.1219,0.0,2727.2,3,18.8,22.8,0.351,SELL_NOW
54.18,51.47,0.0556,1000.0,1743.7,1,100.9,9.9,0.36,SELL_NOW
65.64,76.9,0.1784,1000.0,1127.8,2,88.3,43.3,0.765,AGGREGATE
45.18,37.24,0.1436,0.0,1205.3,11,80.4,12.6,0.127,SELL_NOW
50.38,63.05,0.0961,500.0,1294.4,2,17.4,43.7,0.443,AGGREGATE
44.48,54.53,0.2287,500.0,2210.0,3,77.5,73.2,0.467,SELL_NOW
23.67,26.84,0.015,200.0,1409.8,5,93.1,68.3,0.537,SELL_NOW
60.57,66.42,0.0858,5000.0,2584.5,11,103.6,28.0,0.702,WAIT
29.65,36.95,0.0237,200.0,2837.9,18,3.6,67.4,0.433,SELL_NOW
11.7,10.45,0.194,500.0,1074.2,9,82.8,92.8,0.292,SELL_NOW
55.18,46.33,0.1785,0.0,1726.0,0,4.3,34.8,0.896,SELL_NOW
22.4,20.6,0.0895,200.0,375.7,16,85.4,32.9,0.983,SELL_NOW
75.83,90.79,0.1722,1000.0,681.4,15,77.0,57.1,0.118,STORE
76.78,62.75,0.105,1000.0,1299.1,8,19.5,24.6,0.592,SELL_NOW
74.04,80.81,0.1915,0.0,698.0,20,92.4,65.2,0.408,SELL_NOW
35.91,46.6,0.119,500.0,2642.0,8,10.1,83.2,0.349,SELL_NOW
11.08,13.61,0.1089,1000.0,559.0,8,99.5,45.9,0.402,STORE
74.98,79.54,0.2343,1000.0,1421.4,11,32.9,68.0,0.675,SELL_NOW
39.97,33.25,0.0702,5000.0,1856.5,8,83.3,65.2,0.272,SELL_NOW
77.67,94.42,0.0389,200.0,2106.4,14,111.0,3.9,0.922,AGGREGATE
77.45,85.16,0.1503,500.0,1210.9,1,42.1,18.3,0.52,AGGREGATE
69.71,59.77,0.2426,200.0,2620.4,10,61.3,89.4,0.393,SELL_NOW
30.61,25.93,0.1007,500.0,1748.1,10,56.6,93.9,0.789,SELL_NOW
36.96,46.37,0.0249,1000.0,1374.6,7,20.6,78.0,0.115,SELL_NOW
69.58,78.94,0.0914,5000.0,295.0,5,71.7,92.1,0.489,STORE
32.18,39.09,0.1314,200.0,1447.6,20,89.7,30.6,0.42,AGGREGATE
21.86,27.1,0.0489,1000.0,2480.1,19,110.2,24.8,0.404,AGGREGATE
48.98,53.18,0.1679,500.0,1882.2,6,102.4,38.4,0.403,AGGREGATE
75.53,79.97,0.2495,200.0,2513.3,2,62.2,5.5,0.128,WAIT
58.72,59.62,0.1184,200.0,1532.6,7,86.8,81.0,0.237,SELL_NOW
49.9,47.83,0.0951,1000.0,443.5,17,96.5,98.4,0.228,WAIT
16.8,17.09,0.1062,200.0,139.6,16,60.2,82.4,0.99,SELL_NOW
53.05,62.97,0.0376,5000.0,979.3,10,15.6,55.5,0.12,STORE
79.3,87.31,0.222,5000.0,2124.2,1,53.7,29.5,0.25,STORE
19.81,24.68,0.1096,1000.0,2391.8,20,101.4,19.8,0.977,AGGREGATE
46.28,47.29,0.1029,500.0,957.7,18,72.4,36.4,0.665,SELL_NOW
71.42,78.81,0.1683,1000.0,1537.4,6,87.5,66.7,0.506,SELL_NOW
61.85,69.01,0.1161,5000.0,1321.2,17,23.9,44.7,0.171,STORE
58.79,64.43,0.1656,0.0,1290.5,7,115.8,93.4,0.703,SELL_NOW
59.17,68.13,0.0247,0.0,770.9,13,49.7,85.4,0.224,SELL_NOW
35.16,32.31,0.2053,200.0,495.5,6,79.1,10.2,0.704,SELL_NOW
30.55,32.27,0.2357,200.0,670.4,20,4.2,13.2,0.981,SELL_NOW
66.66,56.8,0.1657,0.0,260.5,3,17.0,67.6,0.579,SELL_NOW
66.71,66.19,0.2391,5000.0,674.6,16,94.3,23.1,0.293,WAIT
70.7,73.79,0.0463,200.0,126.7,4,116.2,79.1,0.663,WAIT
73.93,83.25,0.1246,1000.0,1919.0,11,39.8,59.1,0.562,AGGREGATE
45.79,58.4,0.1544,1000.0,1017.5,8,6.4,23.0,0.58,AGGREGATE
45.11,49.63,0.1496,5000.0,2922.1,19,44.6,47.9,0.53,WAIT
65.88,77.2,0.1064,200.0,661.8,12,4.1,40.6,0.706,AGGREGATE
55.5,58.45,0.0911,1000.0,1102.9,17,24.7,87.3,0.615,SELL_NOW
59.14,66.06,0.0404,200.0,1137.7,19,90.8,3.2,0.988,AGGREGATE
65.71,54.89,0.104,200.0,124.5,8,112.6,89.6,0.843,SELL_NOW
72.3,67.04,0.049,1000.0,2533.7,3,12.3,65.2,0.338,SELL_NOW
33.66,33.02,0.1862,0.0,192.8,20,67.8,73.8,0.753,SELL_NOW
36.29,37.61,0.0601,1000.0,2826.5,7,32.0,0.3,0.293,WAIT
16.58,13.64,0.0241,5000.0,2687.0,0,18.4,62.8,0.804,SELL_NOW
50.48,43.92,0.1426,500.0,1653.0,16,27.8,58.8,0.233,SELL_NOW
12.52,11.75,0.1529,1000.0,1676.4,8,70.2,53.7,0.526,SELL_NOW
42.59,54.76,0.2193,200.0,1996.0,19,9.7,78.6,0.812,SELL_NOW
47.99,46.34,0.1485,200.0,1222.4,12,53.2,55.6,0.352,WAIT
30.06,31.29,0.0929,1000.0,1976.9,1,18.0,85.7,0.853,SELL_NOW
51.36,46.12,0.2027,500.0,229.8,12,34.2,23.3,0.68,SELL_NOW
12.14,13.41,0.1397,1000.0,256.7,8,24.5,80.6,0.458,STORE
12.61,11.86,0.029,500.0,1426.0,19,106.2,17.9,0.481,SELL_NOW
67.58,61.06,0.1458,500.0,1693.9,5,85.5,81.3,0.933,SELL_NOW
35.21,37.27,0.2279,5000.0,2674.7,0,104.5,94.0,0.296,WAIT
18.89,15.17,0.1051,200.0,403.5,4,47.2,33.6,0.724,SELL_NOW
46.56,37.42,0.0811,200.0,2485.7,2,39.0,53.0,0.737,SELL_NOW
63.9,58.12,0.0444,500.0,709.1,3,46.9,65.8,0.93,SELL_NOW
25.11,20.55,0.0463,200.0,1242.8,0,4.2,7.9,0.742,SELL_NOW
53.6,45.78,0.1139,0.0,1018.1,13,87.5,49.4,0.626,SELL_NOW
15.97,15.49,0.153,500.0,1260.5,8,43.3,36.1,0.912,WAIT
13.62,16.36,0.0293,200.0,536.4,3,39.0,87.2,0.846,SELL_NOW
47.19,51.25,0.2355,0.0,1560.4,17,72.6,87.7,0.745,SELL_NOW
47.84,50.54,0.1912,5000.0,2424.8,13,53.5,70.1,0.129,WAIT
54.62,51.71,0.1508,200.0,1380.4,3,117.7,65.6,0.436,SELL_NOW
60.83,77.0,0.2088,0.0,1522.8,9,44.0,73.4,0.669,SELL_NOW
78.31,78.19,0.0292,1000.0,2561.4,2,74.4,36.6,0.57,WAIT
46.14,38.92,0.1244,1000.0,2147.6,6,38.8,40.5,0.387,SELL_NOW
32.61,36.15,0.1612,0.0,1522.3,9,118.9,55.4,0.23,AGGREGATE
65.66,56.27,0.2089,500.0,847.3,12,54.5,93.8,0.598,SELL_NOW
28.96,28.17,0.198,500.0,2666.3,3,76.8,72.4,0.357,SELL_NOW
40.73,42.92,0.0765,200.0,1773.4,17,17.0,55.1,0.31,SELL_NOW
15.49,19.17,0.2358,1000.0,741.3,10,88.5,77.0,0.459,STORE
11.77,12.33,0.0398,500.0,880.4,3,33.8,37.1,0.807,SELL_NOW
77.39,89.08,0.22,500.0,2429.1,13,54.9,73.0,0.539,SELL_NOW
68.52,88.83,0.243,1000.0,228.0,17,106.2,41.1,0.295,STORE
58.72,50.83,0.0525,5000.0,2977.1,7,116.5,28.0,0.205,SELL_NOW
38.63,36.21,0.1833,500.0,478.0,9,52.1,61.0,0.549,SELL_NOW
22.13,22.07,0.0197,0.0,2408.6,4,100.5,68.7,0.815,SELL_NOW
20.95,21.18,0.1073,200.0,1244.8,6,8.3,45.9,0.688,WAIT
27.52,27.67,0.1339,500.0,1527.4,11,102.0,56.6,0.309,WAIT
